"","row_code","scientificName","year","lon","lat","presence","species","farming","flooded_forest","grassland","other_non_vegetated","urban","wetland","forest_formation","river_lake_ocean","not_observed","mangrove","non_forested_natural","savannah_formation","rocky_outcrop","mining","fold"
"92",92,"Bradypus tridactylus",2012,-52.77718,3.09718,1,"Bradypus tridactylus",0,0,0,0,0,0,0.972154829040527,0,0,0,0,0,0,0,1
"93",93,"Bradypus tridactylus",2011,-52.77605,2.32854,1,"Bradypus tridactylus",0,0,0,0,0,0,0.972756448608396,0,0,0,0,0,0,0,1
"94",94,"Bradypus tridactylus",2012,-55.196514,4.994331,1,"Bradypus tridactylus",0,0,0.00672948602294922,0,0,0,0.970634770774258,0,0,0,0,0,0,0,5
"95",95,"Bradypus tridactylus",2012,-59.885208,-3.07768,1,"Bradypus tridactylus",0.0710886560664376,0,0.0183575882348807,0,0.673788374481472,0.0501049665900735,0.0374701293783858,0.139342906974153,0,0,0,0,0,0,4
"96",96,"Bradypus tridactylus",2012,-52.37246,3.18823,1,"Bradypus tridactylus",0,0,0,0,0,0,0.965949858292164,0,0,0,0,0,0,0,1
"97",97,"Bradypus tridactylus",2012,-52.46244,3.1881,1,"Bradypus tridactylus",0,0,0,0.00892627062988281,0,0,0.901993805059977,0.0780078533320624,0,0,0,0,0,0,1
"98",98,"Bradypus tridactylus",2012,-55.2167,5.852836,1,"Bradypus tridactylus",0.515466569031674,0.196920541750897,0,0.0509351598325787,0.103593319808595,0.0539521716208718,0,0.0550522539185876,0,0,0,0,0,0,5
"99",99,"Bradypus tridactylus",2012,-55.211785,5.867049,1,"Bradypus tridactylus",0.152332341624867,0.751315056030273,0,0,0,0.0453600656627308,0.0195672806396484,0,0,0,0,0,0,0,5
"100",100,"Bradypus tridactylus",2012,-55.178174,5.817638,1,"Bradypus tridactylus",0.0608064385693229,0,0.0137872378234863,0.193879890442112,0.715992065223322,0.00433630615234375,0,0,0,0,0,0,0,0,5
"101",101,"Bradypus tridactylus",2011,-53.02298,2.12478,1,"Bradypus tridactylus",0,0,0,0,0,0,0.970690698978439,0,0,0,0,0,0,0,1
"102",102,"Bradypus tridactylus",2011,-52.19271,3.36935,1,"Bradypus tridactylus",0,0,0,0,0,0,0.965202147648108,0,0,0,0,0,0,0,1
"103",103,"Bradypus tridactylus",2011,-60.774295,-2.822796,1,"Bradypus tridactylus",0.0438801113852435,0,0.0171072877032112,0,0,0.0190760275878906,0.248065879848607,0.652054951809251,0,0,0,0,0,0,4
"104",104,"Bradypus tridactylus",2011,-52.64136,2.46436,1,"Bradypus tridactylus",0,0,0,0,0,0,0.97220017728104,0,0,0,0,0,0,0,1
"105",105,"Bradypus tridactylus",2011,-53.0006,2.19262,1,"Bradypus tridactylus",0,0,0,0,0,0,0.983354988048359,0,0,0,0,0,0,0,1
"106",106,"Bradypus tridactylus",2011,-52.68621,2.37387,1,"Bradypus tridactylus",0,0,0,0,0,0,0.977580051675554,0.00318060249454274,0,0,0,0,0,0,1
"107",107,"Bradypus tridactylus",2011,-55.197501,5.458773,1,"Bradypus tridactylus",0.0860900681984641,0.118454590387518,0.107855145840732,0.310943445467863,0.253092544866388,0.0106803517067649,0.082125075028853,0,0,0,0,0,0,0,5
"108",108,"Bradypus tridactylus",2011,-61.613745,6.750673,1,"Bradypus tridactylus",0.33259224730205,0,0.0462096657493768,0,0,0,0.600002012942846,0,0,0,0,0,0,0,5
"109",109,"Bradypus tridactylus",2011,-52.50742,3.18804,1,"Bradypus tridactylus",0,0,0,0,0,0,0.916879239811175,0.0550777292253301,0,0,0,0,0,0,1
"110",110,"Bradypus tridactylus",2011,-54.08161,3.32002,1,"Bradypus tridactylus",0,0,0,0,0,0,0.962963869376624,0.00113051779785156,0,0,0,0,0,0,1
"111",111,"Bradypus tridactylus",2011,-61.373158,6.204619,1,"Bradypus tridactylus",0.133984044712288,0,0.0689533532987272,0,0,0,0.774925333441956,0,0,0,0,0,0,0,5
"112",112,"Bradypus tridactylus",2011,-61.465279,6.476161,1,"Bradypus tridactylus",0,0,0.00888425109863281,0,0,0,0.975623759023544,0,0,0,0,0,0,0,5
"113",113,"Bradypus tridactylus",2011,-54.21601,3.1841,1,"Bradypus tridactylus",0,0,0,0,0,0,0.983396726902859,0,0,0,0,0,0,0,1
"114",114,"Bradypus tridactylus",2011,-54.08148,3.27485,1,"Bradypus tridactylus",0,0,0,0,0,0,0.884493372194991,0.0988178171647832,0,0,0,0,0,0,1
"115",115,"Bradypus tridactylus",2011,-52.9566,2.82561,1,"Bradypus tridactylus",0,0,0,0,0,0,0.983119360606232,0,0,0,0,0,0,0,1
"116",116,"Bradypus tridactylus",2011,-54.17054,3.00358,1,"Bradypus tridactylus",0,0,0,0,0,0,0.909779563958234,0.052423428058612,0,0,0,0,0,0,1
"117",117,"Bradypus tridactylus",2011,-52.91072,2.19274,1,"Bradypus tridactylus",0,0,0,0,0,0,0.96312820513535,0.00255240124511719,0,0,0,0,0,0,1
"118",118,"Bradypus tridactylus",2011,-52.64231,3.14261,1,"Bradypus tridactylus",0,0,0,0,0,0,0.976300704580275,0,0,0,0,0,0,0,1
"119",119,"Bradypus tridactylus",2011,-52.79614,2.83866,1,"Bradypus tridactylus",0,0,0,0,0,0,0.977796613358562,0,0,0,0,0,0,0,1
"120",120,"Bradypus tridactylus",2011,-52.23754,3.23362,1,"Bradypus tridactylus",0.018744380241394,0,0,0,0,0,0.844342602867259,0.119414372952135,0,0,0,0,0,0,1
"121",121,"Bradypus tridactylus",2011,-52.7311,2.3286,1,"Bradypus tridactylus",0,0,0,0,0,0,0.972409654865577,0,0,0,0,0,0,0,1
"122",122,"Bradypus tridactylus",2011,-52.59641,2.46442,1,"Bradypus tridactylus",0,0,0,0,0,0,0.966305252891391,0,0,0,0,0,0,0,1
"123",123,"Bradypus tridactylus",2011,-52.64131,2.41914,1,"Bradypus tridactylus",0,0,0.00803878278808594,0,0,0,0.901076129727452,0.0679642986283735,0,0,0,0,0,0,1
"124",124,"Bradypus tridactylus",2011,-54.26347,3.90653,1,"Bradypus tridactylus",0,0,0,0,0,0,0.378569556512157,0.588500331539795,0,0,0,0,0,0,1
"125",125,"Bradypus tridactylus",2011,-54.12642,3.27471,1,"Bradypus tridactylus",0,0,0,0.00178511486816406,0,0,0.813117580511439,0.151896805442117,0,0,0,0,0,0,1
