"","row_code","scientificName","year","lon","lat","presence","bio1_mean_annual_temp","bio12_annual_precip","farming","forest_formation","other_non_vegetated","flooded_forest","river_lake_ocean","urban","non_forested_natural","grassland","wetland","mining","savannah_formation","mangrove","not_observed","glacier","fold"
"93",93,"Rhynchonycteris naso",2019,-55.932721,-9.617237,0,25.4483543900419,2283.6140429284,0,0.89345031,0,0,0.078922485,0,0,0,0,0,0,0,0,0,2
"94",94,"Holochilus sciureus",2021,-66.100221,-11.028237,0,25.75,1852.36475265125,0.091039393,0.072901419,0,0.817571406,0.003072047,0,0,0.003898947,0,0,0,0,0,0,3
"95",95,"Aotus nigriceps",2017,-71.379021,-12.762937,0,22.7932204884931,2965.70996799942,0.268901549,0.342031408,0.02911668,0,0.322322148,0,0,0,0,0,0,0,0,0,3
"96",96,"Rhynchonycteris naso",2021,-76.276021,-0.437437,0,25.0310745869786,3350.24408211196,0.012515295,0.626978052,0,0.338481892,0.010402322,0,0,0,0,0,0,0,0,0,1
"97",97,"Bradypus tridactylus",2011,-60.771621,-2.819537,0,26.8946040681571,2714.87673319667,0.027411245,0.462674798,0,0,0.457326841,0,0,0.013058953,0.009010391,0,0,0,0,0,2
"98",98,"Chiropotes chiropotes",2010,-52.413521,3.189663,0,25.566096404776,2620.71012808772,0,0.965605573,0,0,0,0,0,0,0,0,0,0,0,0,2
"99",99,"Aotus nigriceps",2011,-70.607121,-12.505637,0,24.4151640762517,1969.92393412021,0.238590412,0.327944596,0.133424722,0.246902227,0.036131499,0,0,0,0.001746641,0,0,0,0,0,3
"100",100,"Sapajus apella",2018,-68.557021,-9.849637,0,25.0857903031278,2018.08094976756,0.28986891,0.689195165,0,0,0,0,0,0,0,0,0,0,0,0,3
"101",101,"Atelocynus microtis",2018,-69.719021,-13.094937,0,24.2524388604913,2456.84645774148,0,0.972862276,0,0,0,0,0,0,0,0,0,0,0,0,3
"102",102,"Lagothrix flavicauda",2007,-76.790621,-8.654437,0,16.7497536761702,2071.68504144338,0.225823522,0.091910515,0.01014538,0,0.010255064,0,0.646451057,0,0,0,0,0,0,0,1
"103",103,"Saimiri boliviensis",2022,-63.253321,-17.767837,0,23.3493979418719,1459.34587090889,0.398999401,0.556962985,0,0,0.005647072,0.009411543,0,0,0,0,0,0,0,0,3
"104",104,"Leontocebus nigricollis",2009,-70.217021,-3.807237,0,25.6487135590359,3286.65213709155,0,0.967753459,0,0,0,0,0,0,0,0,0,0,0,0,1
"105",105,"Leontocebus fuscicollis",2015,-73.304621,-3.790637,0,25.7058168387512,3247.062179882,0.25903808,0,0.006938334,0,0.011491935,0.701434852,0,0,0,0,0,0,0,0,1
"106",106,"Mimon bennettii",1970,-70.432821,-3.815537,0,25.75,3269.51077865664,0.08567003,0.030653935,0.007337112,0.851997602,0.010130544,0,0,0,0,0,0,0,0,0,1
"107",107,"Proechimys brevicauda",1979,-77.753421,-4.023037,0,25.8424816131592,2504.53903021694,0.472556701,0.182053066,0.008541204,0.022679812,0.276305868,0.024804135,0,0,0,0,0,0,0,0,1
"108",108,"Pithecia hirsuta",2009,-70.233621,-3.757437,0,25.5499992370605,3342.37132978637,0,0.970232074,0,0,0,0,0,0,0,0,0,0,0,0,1
"109",109,"Aotus miconax",2009,-77.794921,-5.907137,0,15.795928797446,1636.57384245061,0.898085662,0,0.030723272,0,0,0.028863697,0,0.010833976,0,0,0,0,0,0,1
"110",110,"Cerdocyon thous",2022,-60.721821,-17.734637,0,25.0499992370605,1045.56833436059,0.312084119,0.588831934,0,0,0,0,0.089556389,0,0,0,0,0,0,0,3
