system:index,bio12_annual_precip,bio1_mean_annual_temp,presence,row_code,scientificName,species,year,.geo
0000000000000000006e,3272.058483886719,25.55289166768392,0,111,Cheracebus lucifer,background species,2022,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.20424341096725,-3.840983395425284],[-70.19528354722824,-3.840983395425284],[-70.19528354722824,-3.831986258579565],[-70.20424341096725,-3.831986258579565],[-70.20424341096725,-3.840983395425284]]]}"
00000000000000000052,6034.3322491606405,22.729583164877145,0,83,Chiropotes satanas,background species,1990,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-67.20425309901347,5.1590164611695135],[-67.19527688901016,5.1590164611695135],[-67.19527688901016,5.168013598036603],[-67.20425309901347,5.168013598036603],[-67.20425309901347,5.1590164611695135]]]}"
00000000000000000072,1640.313469500581,26.640493818551057,0,115,Chiropotes satanas,background species,2015,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-46.20424230695712,-3.840983395425284],[-46.19528244321811,-3.840983395425284],[-46.19528244321811,-3.831986258579565],[-46.20424230695712,-3.831986258579565],[-46.20424230695712,-3.840983395425284]]]}"
00000000000000000043,2344.525954883623,25.850000381469727,0,68,Isothrix bistriata,background species,1991,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-76.20425072640299,-4.840985856769725],[-76.19527899595482,-4.840985856769725],[-76.19527899595482,-4.8319887199263905],[-76.20425072640299,-4.8319887199263905],[-76.20425072640299,-4.840985856769725]]]}"
000000000000000000b6,1940.5954377986181,25.35637913853669,0,183,Leopardus pardalis,background species,2021,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-69.20428899581121,-8.840982324844253],[-69.19524182672698,-8.840982324844253],[-69.19524182672698,-8.831985188010535],[-69.20428899581121,-8.831985188010535],[-69.20428899581121,-8.840982324844253]]]}"
00000000000000000048,1034.3404606053089,24.56029401841711,0,73,Necromys lenguarum,background species,2019,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-62.204488541186436,-18.840984642782036],[-62.19504288001907,-18.840984642782036],[-62.19504288001907,-18.83198750597353],[-62.204488541186436,-18.83198750597353],[-62.204488541186436,-18.840984642782036]]]}"
00000000000000000062,1582.5201370804398,24.845621171802165,0,99,Necromys lenguarum,background species,2000,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-60.204368908234976,-13.840985713363944],[-60.19516195554645,-13.840985713363944],[-60.19516195554645,-13.83198857654256],[-60.204368908234976,-13.83198857654256],[-60.204368908234976,-13.840985713363944]]]}"
00000000000000000046,2021.8795216457906,25.781347684623782,0,71,Proechimys roberti,background species,1972,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-53.20423715028561,-2.840985393181888],[-53.19528639897361,-2.840985393181888],[-53.19528639897361,-2.8319882563337915],[-53.20423715028561,-2.8319882563337915],[-53.20423715028561,-2.840985393181888]]]}"
00000000000000000061,1464.052843834743,23.04189640234324,0,98,Saguinus imperator,background species,2022,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-72.2043308122058,-11.84098524977633],[-72.19519680893396,-11.84098524977633],[-72.19519680893396,-11.831988112949961],[-72.2043308122058,-11.831988112949961],[-72.2043308122058,-11.84098524977633]]]}"
000000000000000000bb,1912.7647740534233,25.212600605121786,0,188,Saguinus imperator,background species,2022,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-68.20429951413189,-9.840984786188645],[-68.19522634599919,-9.840984786188645],[-68.19522634599919,-9.831987649357359],[-68.20429951413189,-9.831987649357359],[-68.20429951413189,-9.840984786188645]]]}"
00000000000000000093,1818.4707845052083,26.234093546867367,0,148,Tapirus terrestris,background species,2022,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-47.204244768303944,-3.840983395425283],[-47.195284904564936,-3.840983395425283],[-47.195284904564936,-3.831986258579565],[-47.204244768303944,-3.831986258579565],[-47.204244768303944,-3.840983395425283]]]}"
000000000000000000b2,3887.2942911783853,24.858352788289388,0,179,Tapirus terrestris,background species,2022,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-71.20423814088551,-1.8409829318374353],[-71.19529376174096,-1.8409829318374353],[-71.19529376174096,-1.8319857949869651],[-71.20423814088551,-1.8319857949869651],[-71.20423814088551,-1.8409829318374353]]]}"
0000000000000000007a,2281.834219360351,25.78167644341787,0,123,Tonatia saurophila,background species,2022,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-58.204253242397314,5.1590164611695135],[-58.19527703239401,5.1590164611695135],[-58.19527703239401,5.168013598036603],[-58.204253242397314,5.168013598036603],[-58.204253242397314,5.1590164611695135]]]}"
