row_code,farming,forest_formation,other_non_vegetated,flooded_forest,river_lake_ocean,urban,non_forested_natural,grassland,wetland,mining,savannah_formation,mangrove,not_observed,glacier
166,0,0.968598297,0,0,0,0,0,0,0,0,0,0,0,0
167,0.06627483,0.909231391,0,0,0,0,0,0,0,0,0,0,0,0
168,0.040523757,0.3361377,0,0,0,0,0,0.587004215,0,0,0,0,0,0
169,0.041525414,0.931577233,0,0,0,0,0,0,0,0,0,0,0,0
170,0,0.970232074,0,0,0,0,0,0,0,0,0,0,0,0
171,0.203774277,0.084298089,0.07879619,0,0.210899195,0.391353109,0,0,0,0,0,0,0,0
172,0,0.971411048,0,0,0,0,0,0,0,0,0,0,0,0
173,0,0.990479364,0,0,0,0,0,0,0,0,0,0,0,0
174,0.578808699,0.3956193,0,0,0,0,0,0,0,0,0,0,0,0
175,0.04517256,0.284502975,0.008045528,0.016083419,0.623857884,0,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0.973231929,0,0,0,0,0,0,0,0
177,0.395522943,0.453743948,0,0,0.000451558,0.136870234,0,0.008417896,0,0,0,0,0,0
178,0,0.972821519,0,0,0,0,0,0,0,0,0,0,0,0
179,0.17258766,0,0.303768014,0,0,0.499259097,0,0.008005256,0.003735772,0,0,0,0,0
180,0,0.97595568,0,0,0,0,0,0,0,0,0,0,0,0
181,0.024584399,0.081128286,0,0.864519687,0,0,0,0,0.01793967,0,0,0,0,0
182,0.031836314,0.970657848,0,0,0,0,0,0,0,0,0,0,0,0
183,0.030558007,0.001746217,0.129986745,0.231843735,0.574199619,0,0,0,0,0.020349533,0,0,0,0
184,0.124456937,0.067365618,0,0,0,0.767083845,0,0.00148979,0.008827014,0,0,0,0,0
185,0,0.976520682,0,0,0,0,0,0,0,0,0,0,0,0
186,0,0.736851131,0.091914283,0,0,0.151474622,0,0,0,0,0,0,0,0
187,0.03932575,0.881352143,0.016842925,0,0.059977606,0,0.001599472,0,0,0,0,0,0,0
188,0,0.965956008,0,0,0,0,0,0,0,0,0,0,0,0
189,0.160212827,0.606337947,0.026406718,0,0.171505981,0,0,0,0,0,0,0,0,0
190,0.383695473,0.34155708,0.008519542,0,0.250374826,0,0,0,0,0,0,0,0,0
191,0.081598297,0.399345699,0.010727182,0.154558443,0.322009609,0,0,0,0.019107193,0,0,0,0.000893932,0
192,0.904663996,0.070774914,0,0,0,0,0,0,0,0,0,0,0,0
193,0.0069602,0.968383913,0.008008375,0,0,0,0,0,0,0,0,0,0,0
194,0,0.95944865,0,0,0.017183643,0,0,0,0,0,0,0,0,0
195,0,0.979164925,0,0,0,0,0,0,0,0,0,0,0,0
196,0,0.221403591,0,0.760533467,0,0,0,0.005247217,0,0,0,0,0,0
197,0.068257199,0.666644937,0,0.220305347,0,0,0,0,0,0,0,0,0,0
198,0.03362524,0.973347536,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0.973604923,0.011578684,0,0.014701284,0,0,0.005344,0,0,0,0,0,0
200,0.009055623,0.934381682,0,0,0,0,0,0,0.039254461,0,0,0,0,0
201,0,0.811408438,0,0,0.164091195,0,0,0.003325211,0,0,0,0,0,0
202,0,0.97942747,0,0,0,0,0,0,0,0,0,0,0,0
203,0,0.981106493,0,0,0,0,0,0,0,0,0,0,0,0
204,0,0.978689049,0,0,0,0,0,0,0,0,0,0,0,0
205,0,0.969995665,0,0,0,0,0,0,0,0,0,0,0,0
206,0,0.979845521,0,0,0,0,0,0,0,0,0,0,0,0
207,0,0.817297582,0,0,0.139248268,0,0,0.021024973,0.000731738,0,0,0,0,0
208,0.970628539,0.01357491,0,0,0,0,0,0,0,0,0,0,0,0
209,0.954287412,0.012295823,0,0,0.011596594,0,0,0.023760894,0,0,0,0,0,0
210,0,0,0.023884846,0,0,0,0,0,0,0,0,0,0.039978465,0.913446095
211,0,0.901869559,0.008239657,0,0.004708374,0,0,0.056895188,0,0,0,0,0,0
212,0.385780303,0.566114893,0,0,0,0.004463822,0,0.014933445,0,0,0,0,0,0
213,0,0.977897609,0,0,0,0,0,0,0,0,0,0,0,0
214,0.008483801,0.892814602,0,0,0.063869755,0,0,0,0,0,0,0,0,0
215,0.780541913,0.201567258,0,0,0,0,0,0,0,0,0,0,0,0
216,0,0.97873103,0,0,0,0,0,0,0,0,0,0,0,0
217,0,0.89174212,0,0,0,0,0.077934852,0,0,0,0,0,0,0
218,0.267369242,0.497312267,0,0.024842849,0.200681516,0,0,0,0,0,0,0,0,0
219,0.153003948,0,0.156004597,0.017142649,0.299359289,0.350235866,0,0,0.004748858,0,0,0,0,0
220,0,0.741492636,0,0,0,0,0,0.21961128,0,0,0,0,0,0
221,0.718658912,0.020134106,0.070727348,0.060056617,0.122297758,0,0,0,0,0,0,0,0,0
222,0,0.89735357,0,0.073033466,0,0,0,0,0,0,0,0,0,0
223,0.256491135,0.607868958,0.020885712,0,0,0.080736777,0,0,0,0,0,0,0,0
224,0.769195599,0.075678151,0.009629839,0,0.127563096,0,0,0,0,0,0,0,0,0
225,0.080837117,0.039142415,0.108555154,0,0.006479052,0,0.007819545,0.734812741,0,0,0,0,0,0
226,0.054962217,0.920434759,0.003071232,0,0.003948697,0,0,0,0,0,0,0,0,0
227,0,0.98215407,0,0,0,0,0,0,0,0,0,0,0,0
228,0.054996859,0.554539901,0,0,0.002251133,0.369133718,0,0.011203491,0,0,0,0,0,0
229,0,0.189673169,0,0,0.779605205,0,0,0,0,0,0,0,0,0
230,0.798758189,0.190646121,0,0,0,0,0,0,0,0,0,0,0,0
231,0,0.971502012,0,0,0,0,0,0,0,0,0,0,0,0
232,0.002624196,0.484421761,0,0.352468687,0.131679815,0,0,0,0,0,0,0,0,0
233,0.058657323,0.160350007,0,0,0,0,0,0.760370014,0,0,0,0,0,0
234,0.072465275,0.846009556,0.006153079,0,0.039438267,0,0,0,0,0,0,0,0,0
235,0.009278477,0,0,0.847755975,0.112340999,0,0,0,0,0.01432163,0,0,0,0
236,0,0.207955455,0,0.38977431,0.37522274,0,0,0,0.005341347,0,0,0,0,0
237,0,0.98751417,0,0,0,0,0,0,0,0,0,0,0,0
238,0,0.971779503,0,0.006122055,0,0,0,0,0,0,0,0,0,0
239,0,0.97892427,0,0,0,0,0,0,0,0,0,0,0,0
240,0.056718308,0.899030125,0,0,0,0,0,0.020387105,0,0,0,0,0,0
241,0.037798018,0.468418854,0,0,0.414074171,0,0,0.051343685,0,0,0,0,0,0
242,0,0,0.153189001,0,0,0,0,0,0,0,0,0,0.187727637,0.63258557
243,0,0.979436235,0,0,0,0,0.000810014,0,0,0,0,0,0,0
244,0,0.487305457,0,0.465781193,0,0,0,0.00712696,0.018199178,0,0,0,0,0
245,0.968844382,0,0,0,0,0,0,0,0,0,0,0,0,0
246,0,0.982091848,0,0,0,0,0,0,0,0,0,0,0,0
247,0,0.990224888,0,0,0,0,0,0,0,0,0,0,0,0
248,0.029660786,0.950956426,0,0,0,0,0,0,0,0,0,0,0,0
249,0,0.975997749,0,0,0,0,0,0,0,0,0,0,0,0
250,0.009545433,0.974954083,0,0,0,0,0,0,0,0,0,0,0,0
251,0.006238867,0.960321811,0,0,0,0,0,0,0.006748163,0,0,0,0,0
252,0.816884457,0.097624828,0.016601387,0,0.017654937,0.040714037,0,0,0,0,0,0,0,0
253,0,0.433804676,0,0,0.511559995,0,0,0.020187946,0,0,0,0,0,0
254,0,0.973455227,0,0,0,0,0,0,0,0,0,0,0,0
255,0.879581089,0.048651019,0.009193791,0,0.032653854,0,0,0,0,0,0,0,0,0
256,0.172426236,0.796087191,0,0,0,0,0,0,0,0,0,0,0,0
257,0.041494843,0.90670547,0.022584293,0,0.03852706,0,0,0,0,0,0,0,0,0
258,0.948543547,0.023722464,0,0,0,0,0,0,0,0,0,0,0,0
