system:index,bio12_annual_precip,bio1_mean_annual_temp,presence,row_code,scientificName,year,.geo
000000000000000000da,2168.6841225525154,26.25,0,219,Artibeus concolor,2007,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-55.14870830651903,5.82456404800104],[-55.13972205789237,5.82456404800104],[-55.13972205789237,5.833561184869723],[-55.14870830651903,5.833561184869723],[-55.14870830651903,5.82456404800104]]]}"
0000000000000000007b,1311.6020041817947,6.38304243839628,0,124,Phyllotis andium,2008,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-78.26422633200949,-7.9202359256236],[-78.25520054541909,-7.9202359256236],[-78.25520054541909,-7.911238788787656],[-78.26422633200949,-7.911238788787656],[-78.26422633200949,-7.9202359256236]]]}"
000000000000000000d2,2556.8962636311853,25.880275901158655,0,211,Chiroderma villosum,2008,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-55.17360120973834,4.911563107310178],[-55.16462841786109,4.911563107310178],[-55.16462841786109,4.920560244176678],[-55.17360120973834,4.920560244176678],[-55.17360120973834,4.911563107310178]]]}"
000000000000000000db,2377.4839553202482,24.768482294949617,0,220,Lonchorhina aurita,2008,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-56.13639468130642,3.7827639711383116],[-56.127435331703964,3.7827639711383116],[-56.127435331703964,3.791761108002121],[-56.13639468130642,3.791761108002121],[-56.13639468130642,3.7827639711383116]]]}"
00000000000000000067,3286.652137091546,25.648713559035944,0,104,Leontocebus nigricollis,2009,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.22149552039723,-3.8117361516158],[-70.21253596219286,-3.8117361516158],[-70.21253596219286,-3.8027390147700117],[-70.22149552039723,-3.8027390147700117],[-70.22149552039723,-3.8117361516158]]]}"
0000000000000000006b,3342.371329786372,25.549999237060547,0,108,Pithecia hirsuta,2009,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.2380920374839,-3.761936911051036],[-70.2291329940938,-3.761936911051036],[-70.2291329940938,-3.752939774205129],[-70.2380920374839,-3.752939774205129],[-70.2380920374839,-3.761936911051036]]]}"
0000000000000000006c,1636.5738424506071,15.795928797446008,0,109,Aotus miconax,2009,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-77.79940836479183,-5.911633856103736],[-77.79042085558103,-5.911633856103736],[-77.79042085558103,-5.9026367192629605],[-77.79940836479183,-5.9026367192629605],[-77.79940836479183,-5.911633856103736]]]}"
000000000000000000a9,3342.371329786372,25.549999237060547,0,170,Pithecia hirsuta,2009,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.2380920374839,-3.761936911051036],[-70.2291329940938,-3.761936911051036],[-70.2291329940938,-3.752939774205129],[-70.2380920374839,-3.752939774205129],[-70.2380920374839,-3.761936911051036]]]}"
000000000000000000ac,3013.8199815986573,19.782181574293404,0,173,Aotus miconax,2009,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-76.5959314177663,-8.48463326415899],[-76.58689281311645,-8.48463326415899],[-76.58689281311645,-8.47563612732441],[-76.5959314177663,-8.47563612732441],[-76.5959314177663,-8.48463326415899]]]}"
000000000000000000bf,3941.0715990501817,25.269903198812017,0,192,Plecturocebus caquetensis,2009,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-75.64138560136453,1.1184644690138856],[-75.63244409962064,1.1184644690138856],[-75.63244409962064,1.1274616058713693],[-75.64138560136453,1.1274616058713693],[-75.64138560136453,1.1184644690138856]]]}"
000000000000000000d5,3076.306886791688,24.8312674320585,0,214,Choloepus didactylus,2009,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-76.76188630726179,-1.0976329498255557],[-76.75294489517816,-1.0976329498255557],[-76.75294489517816,-1.0886358129733236],[-76.76188630726179,-1.0886358129733236],[-76.76188630726179,-1.0976329498255557]]]}"
000000000000000000fe,621.8172994229038,23.845315666355713,0,255,Vampyrum spectrum,2009,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-73.51669935894991,-12.950035027382421],[-73.50752642790991,-12.950035027382421],[-73.50752642790991,-12.941037890558807],[-73.51669935894991,-12.941037890558807],[-73.51669935894991,-12.950035027382421]]]}"
00000000000000000061,2620.71012808772,25.566096404776037,0,98,Chiropotes chiropotes,2010,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-52.4179920614292,3.1851641661590233],[-52.40903840652872,3.1851641661590233],[-52.40903840652872,3.1941613030214113],[-52.4179920614292,3.1941613030214113],[-52.4179920614292,3.1851641661590233]]]}"
000000000000000000cc,2614.1872953676084,25.46219032730799,0,205,Leopardus tigrinus,2010,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-52.74169593940799,4.0649670995070695],[-52.73273355903194,4.0649670995070695],[-52.73273355903194,4.073964236371551],[-52.74169593940799,4.073964236371551],[-52.74169593940799,4.0649670995070695]]]}"
000000000000000000e2,3247.4963743597646,24.902636832716063,0,227,Lonchophylla thomasi,2010,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-52.35989629994462,4.405263396399981],[-52.35092997276253,4.405263396399981],[-52.35092997276253,4.414260533265273],[-52.35989629994462,4.414260533265273],[-52.35989629994462,4.405263396399981]]]}"
000000000000000000ea,2200.559334209426,25.033003897333337,0,235,Saimiri boliviensis,2010,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-68.98489394178097,-12.526732564379856],[-68.97573631282165,-12.526732564379856],[-68.97573631282165,-12.517735427555188],[-68.98489394178097,-12.517735427555188],[-68.98489394178097,-12.526732564379856]]]}"
00000000000000000060,2714.8767331966683,26.8946040681571,0,97,Bradypus tridactylus,2011,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-60.77608943350023,-2.82403635007778],[-60.767138812985884,-2.82403635007778],[-60.767138812985884,-2.8150392132296433],[-60.77608943350023,-2.8150392132296433],[-60.77608943350023,-2.82403635007778]]]}"
00000000000000000062,1969.9239341202094,24.41516407625175,0,99,Aotus nigriceps,2011,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.61169410788747,-12.510135790258971],[-70.60253706767314,-12.510135790258971],[-70.60253706767314,-12.501138653434262],[-70.61169410788747,-12.501138653434262],[-70.61169410788747,-12.510135790258971]]]}"
00000000000000000096,2412.9051934080007,10.81481886899323,0,151,Caenolestes sangay,2011,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-78.44678696650142,-2.2347349321589327],[-78.4378404046652,-2.2347349321589327],[-78.4378404046652,-2.225737795309397],[-78.44678696650142,-2.225737795309397],[-78.44678696650142,-2.2347349321589327]]]}"
0000000000000000009f,2377.1135436251943,10.444037029852018,0,160,Nephelomys albigularis,2011,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-78.45508537880698,-2.243033319219375],[-78.44613876641202,-2.243033319219375],[-78.44613876641202,-2.2340361823698593],[-78.45508537880698,-2.2340361823698593],[-78.45508537880698,-2.243033319219375]]]}"
000000000000000000ca,2453.1455108390364,25.844484739067138,0,203,Pithecia pithecia,2011,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-52.86618615997279,2.2306668310648794],[-52.857239568884616,2.2306668310648794],[-52.857239568884616,2.2396639679250003],[-52.86618615997279,2.2396639679250003],[-52.86618615997279,2.2306668310648794]]]}"
000000000000000000f5,3691.2301729447618,24.929021059724807,0,246,Cormura brevirostris,2011,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-52.19389709625161,4.363767001996712],[-52.18493126747068,4.363767001996712],[-52.18493126747068,4.372764138861905],[-52.19389709625161,4.372764138861905],[-52.19389709625161,4.363767001996712]]]}"
000000000000000000f8,2478.9476691632235,25.894459661373425,0,249,Ateles chamek,2011,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-60.834230792835,-8.468036490038104],[-60.82519257815627,-8.468036490038104],[-60.82519257815627,-8.459039353203481],[-60.834230792835,-8.459039353203481],[-60.834230792835,-8.468036490038104]]]}"
000000000000000000fc,2151.6560740152995,26.33111433982849,0,253,Priodontes maximus,2011,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-54.326995270988114,4.01516339984125],[-54.31803344143704,4.01516339984125],[-54.31803344143704,4.0241605367056135],[-54.326995270988114,4.0241605367056135],[-54.326995270988114,4.01516339984125]]]}"
000000000000000000a8,3655.994332305656,24.606855723483505,0,169,Plecturocebus discolor,2012,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-76.90298524930368,-0.790534660275466],[-76.89404462322263,-0.790534660275466],[-76.89404462322263,-0.7815375234225062],[-76.90298524930368,-0.7815375234225062],[-76.90298524930368,-0.790534660275466]]]}"
000000000000000000c0,1844.4488677345373,16.840333384596956,0,193,Lagothrix flavicauda,2012,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-77.91560565653991,-5.604535566553652],[-77.90662299978777,-5.604535566553652],[-77.90662299978777,-5.595538429712142],[-77.91560565653991,-5.595538429712142],[-77.91560565653991,-5.604535566553652]]]}"
000000000000000000fa,3667.0525692508427,24.9746319386969,0,251,Anoura geoffroyi,2012,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-52.41799904467596,4.513164723691006],[-52.40903139924256,4.513164723691006],[-52.40903139924256,4.5221618605565554],[-52.41799904467596,4.5221618605565554],[-52.41799904467596,4.513164723691006]]]}"
