"","row_code","farming","forest_formation","flooded_forest","non_forested_natural","river_lake_ocean","grassland","other_non_vegetated","not_observed","wetland","urban","savannah_formation","rocky_outcrop","glacier"
"167",171,0,0.968975934866152,0,0,0,0,0,0,0,0,0,0,0
"168",172,0.329985161080917,0.0349266840875799,0,0.289053571756128,0,0.303700121657428,0.000829354032628676,0,0,0,0,0,0
"169",173,0,0.976184254212861,0,0,0,0,0,0,0,0,0,0,0
"170",174,0,0.97210267422593,0,0,0,0.000893794311523438,0,0,0,0,0,0,0
"171",175,0,0.978522439253241,0.000482552928251379,0,0,0,0,0,0,0,0,0,0
"172",176,0,0.973052173645022,0,0,0,0,0,0,0,0,0,0,0
"173",177,0.0902834649196251,0,0,0,0,0.918315447484848,0.0423260801652714,0,0,0,0,0,0
"174",179,0,0.972705274474382,0,0,0,0,0,0,0,0,0,0,0
"175",180,0,0.973494359324735,0,0,0,0,0,0,0,0,0,0,0
"176",181,0,0,0,0,0,0.946090385296071,0.0213947867206213,0,0,0,0,0,0
"177",182,0,0.975711438781738,0,0,0,0,0,0,0,0,0,0,0
"178",183,0.000772757887417662,0.842190225692362,0,0,0.134392490965774,0.0137311093778505,0,0,0,0,0,0,0
"179",184,0,0.694439251505121,0,0,0,0.296807760065128,0,0,0,0,0,0,0
"180",185,0,0.978902474385101,0,0,0,0,0,0,0,0,0,0,0
"181",186,0,0,0.967858963664937,0,0,0,0,0,0,0,0,0,0
"182",187,0.009822015625,0.201022463135418,0,0,0.356369147704425,0.160036156596954,0,0,0.251168410599489,0,0,0,0
"183",188,0,0.957891726045495,0,0,0,0,0,0,0,0,0,0,0
"184",189,0,0.530740162206748,0,0.00927469568110447,0,0.41578005865348,0.0369510125946752,0,0,0,0,0,0
"185",190,0,0.964055375877236,0,0,0,0,0,0,0,0,0,0,0
"186",191,0,0.973494359324735,0,0,0,0,0,0,0,0,0,0,0
"187",192,0.223300566338578,0.767011799436735,0,0,0,0,0,0,0,0,0,0,0
