"scientificName"
"Diplospinus multistriatus"
"Bombus opifex"
"Winteria telescopa"
"Barbantus curvifrons"
"Holtbyrnia innesi"
"Maulisia acuticeps"
"Bathophilus irregularis"
"Bathophilus longipinnis"
"Chauliodus danae"
"Photonectes margarita"
"Photostomias guernei"
"Thysanactis dentex"
"Chaunax pictus"
"Diretmichthys parini"
"Radiicephalus elongatus"
"Stylephorus chordatus"
"Vinciguerria poweriae"
"Argyropelecus affinis"
"Argyropelecus gigas"
"Poromitra crassiceps"
"Chiasmodon niger"
"Schedophilus huttoni"
"Kali indica"
"Furipterus horrens"
"Platyrrhinus infuscus"
"Histiotus laephotis"
"Tomopeas ravus"
"Desmodus rotundus"
"Neoeptesicus chiriquinus"
"Diaemus youngii"
"Thyroptera lavali"
"Thyroptera discifera"
"Diclidurus scutatus"
"Diclidurus albus"
"Platyrrhinus brachycephalus"
"Mesophylla macconnelli"
"Platalina genovensium"
"Vampyressa thyone"
"Artibeus lituratus"
"Enchisthenes hartii"
"Artibeus planirostris"
"Dermanura phaeotis"
"Artibeus obscurus"
"Rhinophylla fischerae"
"Platyrrhinus masu"
"Artibeus fraterculus"
"Dermanura glauca"
"Artibeus concolor"
"Dermanura anderseni"
"Rhinophylla pumilio"
"Anoura fistulata"
"Platyrrhinus ismaeli"
"Centronycteris maximiliani"
"Saccopteryx bilineata"
"Tonatia saurophila"
"Saccopteryx canescens"
"Saccopteryx leptura"
"Cormura brevirostris"
"Platyrrhinus albericoi"
"Micronycteris matses"
"Nyctinomops aurispinosus"
"Rhynchonycteris naso"
"Nyctinomops laticaudatus"
"Platyrrhinus matapalensis"
"Noctilio leporinus"
"Noctilio albiventris"
"Platyrrhinus nigellus"
"Cyttarops alecto"
"Centronycteris centralis"
"Macrophyllum macrophyllum"
"Eumops maurus"
"Eumops hansae"
"Eumops glaucinus"
"Carollia manu"
"Promops nasutus"
"Promops centralis"
"Chiroderma salvini"
"Chiroderma trinitatum"
"Chiroderma villosum"
"Lonchophylla robusta"
"Lonchophylla hesperia"
"Lonchophylla handleyi"
"Lonchorhina aurita"
"Lonchophylla thomasi"
"Diphylla ecaudata"
"Lophostoma carrikeri"
"Lophostoma silvicolum"
"Choeroniscus minor"
"Chrotopterus auritus"
"Trachops cirrhosus"
"Eumops trumbulli"
"Uroderma magnirostrum"
"Uroderma bilobatum"
"Sturnira magna"
"Sturnira luisi"
"Myotis albescens"
"Sturnira nana"
"Sturnira tildae"
"Myotis atacamensis"
"Sturnira bidens"
"Sturnira aratathomasi"
"Sturnira erythromos"
"Sturnira bogotensis"
"Myotis keaysi"
"Vampyressa melissa"
"Vampyriscus bidens"
"Vampyriscus brocki"
"Vampyrum spectrum"
"Vampyrodes caraccioli"
"Myotis riparius"
"Micronycteris brosseti"
"Myotis simus"
"Myotis oxyotus"
"Amorphochilus schnablii"
"Pteronotus gymnonotus"
"Sphaeronycteris toxophyllum"
"Mormopterus kalinowskii"
"Mormopterus phrudus"
"Mormoops megalophylla"
"Histiotus velatus"
"Histiotus montanus"
"Lionycteris spurrelli"
"Peropteryx kappleri"
"Peropteryx leucoptera"
"Peropteryx macrotis"
"Molossus molossus"
"Anoura latidens"
"Molossus coibensis"
"Anoura cultrata"
"Glossophaga soricina"
"Molossus rufus"
"Molossops temminckii"
"Cynomops planirostris"
"Glossophaga commissarisi"
"Cynomops greenhalli"
"Cynomops abrasus"
"Neoeptesicus brasiliensis"
"Neoeptesicus andinus"
"Neoeptesicus furinalis"
"Lasiurus ega"
"Lasiurus blossevillii"
"Tadarida brasiliensis"
"Trinycteris nicefori"
