row_code,farming,flooded_forest,grassland,other_non_vegetated,urban,wetland,forest_formation,river_lake_ocean,not_observed,mangrove,non_forested_natural,savannah_formation,rocky_outcrop,mining
261,0.470085877,0,0,0,0,0,0.520139482,0,0,0,0,0,0,0
262,0,0.012804028,0,0,0,0,0.972886856,0,0,0,0,0,0,0
263,0.353642372,0,0,0,0,0,0.636549644,0,0,0,0,0,0,0
264,0.004767701,0.032369028,0,0,0,0,0.948235148,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0.97829894,0,0,0,0,0,0,0
266,0.053607093,0,0,0,0,0,0.912027105,0,0,0,0,0,0,0
267,0,0.920085526,0,0,0,0,0.045206437,0,0,0,0,0,0,0
268,0.915543493,0,0,0.007543478,0,0,0.043808879,0.004437376,0,0,0,0,0,0
269,0,0.271515502,0,0,0,0.697400879,0,0,0,0.013017036,0,0,0,0
270,0,0.38977431,0,0,0,0.005341347,0.207955455,0.37522274,0,0,0,0,0,0
272,0,0,0,0,0,0,0.977231818,0,0,0,0,0,0,0
273,0.010349175,0.754206805,0,0,0,0.053362237,0,0.147396106,0,0,0,0,0,0
274,0.804075658,0,0,0.018773145,0.016497605,0,0.146121684,0,0,0,0,0,0,0
275,0.032815821,0,0.913427682,0,0,0,0.004762378,0.040068948,0,0,0,0,0,0
276,0,0,0,0,0,0,0.976139744,0,0,0,0,0,0,0
277,0.122138658,0.68630352,0,0.004011672,0,0.082932084,0,0.080260101,0,0,0,0,0,0
278,0,0,0.940367653,0.037882379,0,0,0,0,0,0,0,0,0,0
279,0,0,0,0,0,0,0.981710423,0,0,0,0,0,0,0
280,0.769195599,0,0,0.009629839,0,0,0.075678151,0.127563096,0,0,0,0,0,0
281,0.709209815,0,0,0.077901307,0.028275964,0,0.134682566,0.022909441,0,0,0,0,0,0
282,0.007221112,0,0,0,0,0,0.984599061,0,0,0,0,0,0,0
283,0,0,0,0,0,0,0.967292837,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0.990172788,0,0,0,0,0,0,0
285,0,0.084541597,0,0,0,0,0.815898109,0.078251853,0,0,0,0,0,0
286,0.010632284,0.860170006,0,0,0,0,0.029802731,0.072009507,0,0,0,0,0,0
287,0.852154609,0,0.008220765,0,0,0,0.11476964,0.015142333,0,0,0,0,0,0
288,0,0,0,0,0,0,0.983590862,0,0,0,0,0,0,0
289,0.222941251,0,0,0,0,0,0.760635801,0,0,0,0,0,0,0
290,0.011084697,0.001711369,0,0,0,0,0.978073517,0,0,0,0,0,0,0
291,0,0,0.765127275,0.198471364,0,0,0,0,0,0,0.013380447,0,0,0
292,0.073611311,0,0.01564616,0,0,0.046111613,0.435320779,0.392777508,0,0,0,0,0,0
293,0.38110194,0,0.244863367,0.013251458,0,0,0.078995461,0,0,0,0.247700994,0,0,0
294,0.523868583,0,0,0,0.427445607,0,0.038654344,0.003071883,0,0,0,0,0,0
295,0,0.334128012,0,0,0,0,0.645240566,0,0,0,0,0,0,0
296,0.201213595,0,0,0,0,0,0.756507625,0,0,0,0,0,0,0
297,0,0,0,0,0,0,0.753520746,0,0,0,0.222012141,0,0,0
298,0.302936607,0.03470475,0,0,0,0,0.632550993,0.006243627,0,0,0,0,0,0
299,0,0,0,0,0,0,0.973127042,0,0,0,0,0,0,0
300,0,0.133537132,0,0,0,0,0.838888132,0,0,0,0,0,0,0
301,0,0,0,0,0,0,0.965403288,0,0,0,0,0,0,0
302,0.410316526,0,0,0.00715149,0,0,0.561141033,0,0,0,0,0,0,0
303,0.016451988,0.782648452,0,0.001818918,0,0.078588074,0,0.319773611,0,0,0,0,0,0
304,0.497479789,0.201064373,0,0,0,0,0,0.280957541,0,0,0,0,0,0
305,0.055420784,0,0,0,0,0,0.928364723,0,0,0,0,0,0,0
306,0,0,0,0,0,0,0.969664847,0,0,0,0,0,0,0
307,0,0,0,0,0,0,0.971879341,0,0,0,0,0,0,0
308,0,0,0,0,0,0,0.971490626,0,0,0,0,0,0,0
309,0.08567003,0.851997602,0,0.007337112,0,0,0.030653935,0.010130544,0,0,0,0,0,0
310,0.009013041,0.950309404,0.095983756,0,0,0.004459848,0,0,0,0,0,0,0,0
311,0,0,0,0,0,0,0.96564244,0,0,0,0,0,0,0
312,0,0,0,0,0,0,0.966838374,0,0,0,0,0,0,0
313,0.263508215,0.01450247,0,0,0,0,0.260060181,0.443883212,0,0,0,0,0,0
314,0,0.716039063,0,0,0,0.274122988,0,0,0,0,0,0,0,0
315,0.180781285,0,0,0,0,0,0.802465213,0,0,0,0,0,0,0
316,0,0,0,0,0,0,0.965725032,0,0,0,0,0,0,0
317,0.097910336,0.411869168,0,0,0,0.040379731,0.427713878,0,0,0,0,0,0,0
318,0,0,0,0,0,0,0.969884956,0,0,0,0,0,0,0
319,0,0.01885566,0.00446942,0,0,0,0.980313288,0,0,0,0,0,0,0
320,0.001244414,0,0,0,0,0,0.981737659,0,0,0,0,0,0,0
321,0.002671336,0.125149446,0,0.000890445,0,0.007878877,0.408371076,0.42709276,0,0,0,0,0,0
322,0.215914561,0,0.279659198,0.456614271,0,0.014842528,0.001787331,0,0,0,0,0,0,0
323,0,0,0,0,0,0,0.982111077,0,0,0,0,0,0,0
